run=stage2_comp_s0 metric=euclidean skill_dim=4 device=cuda sim_backend=auto
{'step': 1000, 'sps': '74.6', 'episodes': 3}
{'step': 2000, 'sps': '73.6', 'episodes': 6}
{'step': 3000, 'sps': '71.2', 'episodes': 10}
{'step': 4000, 'sps': '71.3', 'episodes': 13}
{'step': 52000, 'sps': '33.4', 'episodes': 173, 'metric/d_mean': '0.00374', 'metric/d_nonzero': '0.5705', 'phi/constraint': '0.000624', 'phi/lambda': '5.442', 'phi/obj': '0.004972', 'phi/violation_rate': '0.5548', 'sac/actor_loss': '-66.44', 'sac/alpha': '0.06274', 'sac/q_loss': '11.17', 'sac/reward_mean': '0.5019'}
{'step': 53000, 'sps': '33.4', 'episodes': 176, 'metric/d_mean': '0.00387', 'metric/d_nonzero': '0.5709', 'phi/constraint': '0.0006705', 'phi/lambda': '5.364', 'phi/obj': '0.004998', 'phi/violation_rate': '0.5549', 'sac/actor_loss': '-67', 'sac/alpha': '0.06267', 'sac/q_loss': '11.33', 'sac/reward_mean': '0.5049'}
{'step': 54000, 'sps': '33.4', 'episodes': 180, 'metric/d_mean': '0.003945', 'metric/d_nonzero': '0.5704', 'phi/constraint': '0.0007264', 'phi/lambda': '5.351', 'phi/obj': '0.004951', 'phi/violation_rate': '0.5554', 'sac/actor_loss': '-68.26', 'sac/alpha': '0.06448', 'sac/q_loss': '11.17', 'sac/reward_mean': '0.5003'}
{'step': 55000, 'sps': '33.4', 'episodes': 183, 'metric/d_mean': '0.003761', 'metric/d_nonzero': '0.5729', 'phi/constraint': '0.0006186', 'phi/lambda': '5.274', 'phi/obj': '0.00526', 'phi/violation_rate': '0.5587', 'sac/actor_loss': '-70.46', 'sac/alpha': '0.06582', 'sac/q_loss': '10.69', 'sac/reward_mean': '0.5311'}
{'step': 56000, 'sps': '33.4', 'episodes': 186, 'metric/d_mean': '0.003917', 'metric/d_nonzero': '0.575', 'phi/constraint': '0.0006781', 'phi/lambda': '5.557', 'phi/obj': '0.00528', 'phi/violation_rate': '0.5609', 'sac/actor_loss': '-72.45', 'sac/alpha': '0.0661', 'sac/q_loss': '11.38', 'sac/reward_mean': '0.5332'}
{'step': 57000, 'sps': '33.4', 'episodes': 190, 'metric/d_mean': '0.003865', 'metric/d_nonzero': '0.5731', 'phi/constraint': '0.0006972', 'phi/lambda': '5.535', 'phi/obj': '0.00519', 'phi/violation_rate': '0.5588', 'sac/actor_loss': '-75.47', 'sac/alpha': '0.06748', 'sac/q_loss': '11.01', 'sac/reward_mean': '0.5242'}
{'step': 58000, 'sps': '33.4', 'episodes': 193, 'metric/d_mean': '0.003993', 'metric/d_nonzero': '0.5738', 'phi/constraint': '0.0007531', 'phi/lambda': '5.511', 'phi/obj': '0.005126', 'phi/violation_rate': '0.5567', 'sac/actor_loss': '-77.96', 'sac/alpha': '0.06806', 'sac/q_loss': '11.03', 'sac/reward_mean': '0.5179'}
{'step': 59000, 'sps': '33.4', 'episodes': 196, 'metric/d_mean': '0.003839', 'metric/d_nonzero': '0.5775', 'phi/constraint': '0.000667', 'phi/lambda': '5.591', 'phi/obj': '0.005178', 'phi/violation_rate': '0.5626', 'sac/actor_loss': '-79.43', 'sac/alpha': '0.06842', 'sac/q_loss': '11.04', 'sac/reward_mean': '0.5231'}
{'step': 60000, 'sps': '33.4', 'episodes': 200, 'metric/d_mean': '0.003896', 'metric/d_nonzero': '0.5737', 'phi/constraint': '0.0007644', 'phi/lambda': '5.53', 'phi/obj': '0.005094', 'phi/violation_rate': '0.5573', 'sac/actor_loss': '-81.34', 'sac/alpha': '0.06747', 'sac/q_loss': '10.6', 'sac/reward_mean': '0.5146'}
{'step': 61000, 'sps': '33.4', 'episodes': 203, 'metric/d_mean': '0.003902', 'metric/d_nonzero': '0.5771', 'phi/constraint': '0.0006875', 'phi/lambda': '5.532', 'phi/obj': '0.005265', 'phi/violation_rate': '0.563', 'sac/actor_loss': '-82.31', 'sac/alpha': '0.06613', 'sac/q_loss': '10.74', 'sac/reward_mean': '0.5319'}
{'step': 62000, 'sps': '33.4', 'episodes': 206, 'metric/d_mean': '0.003761', 'metric/d_nonzero': '0.5743', 'phi/constraint': '0.0006286', 'phi/lambda': '5.581', 'phi/obj': '0.005258', 'phi/violation_rate': '0.5605', 'sac/actor_loss': '-82.84', 'sac/alpha': '0.06604', 'sac/q_loss': '11.12', 'sac/reward_mean': '0.5311'}
{'step': 63000, 'sps': '33.4', 'episodes': 210, 'metric/d_mean': '0.003843', 'metric/d_nonzero': '0.5701', 'phi/constraint': '0.0006647', 'phi/lambda': '5.656', 'phi/obj': '0.005179', 'phi/violation_rate': '0.5546', 'sac/actor_loss': '-83.54', 'sac/alpha': '0.06813', 'sac/q_loss': '11.43', 'sac/reward_mean': '0.5232'}
{'step': 64000, 'sps': '33.4', 'episodes': 213, 'metric/d_mean': '0.003777', 'metric/d_nonzero': '0.5673', 'phi/constraint': '0.0006651', 'phi/lambda': '5.568', 'phi/obj': '0.005166', 'phi/violation_rate': '0.5528', 'sac/actor_loss': '-84.35', 'sac/alpha': '0.06889', 'sac/q_loss': '11.06', 'sac/reward_mean': '0.5218'}
{'step': 65000, 'sps': '33.4', 'episodes': 216, 'metric/d_mean': '0.003947', 'metric/d_nonzero': '0.5695', 'phi/constraint': '0.0007249', 'phi/lambda': '5.592', 'phi/obj': '0.005229', 'phi/violation_rate': '0.5566', 'sac/actor_loss': '-85.73', 'sac/alpha': '0.07177', 'sac/q_loss': '11.51', 'sac/reward_mean': '0.5284'}
{'step': 66000, 'sps': '33.3', 'episodes': 220, 'metric/d_mean': '0.003776', 'metric/d_nonzero': '0.5686', 'phi/constraint': '0.0006542', 'phi/lambda': '5.606', 'phi/obj': '0.005304', 'phi/violation_rate': '0.5562', 'sac/actor_loss': '-87.26', 'sac/alpha': '0.07128', 'sac/q_loss': '11.72', 'sac/reward_mean': '0.536'}
{'step': 67000, 'sps': '33.3', 'episodes': 223, 'metric/d_mean': '0.003856', 'metric/d_nonzero': '0.5738', 'phi/constraint': '0.0007018', 'phi/lambda': '5.847', 'phi/obj': '0.005284', 'phi/violation_rate': '0.5618', 'sac/actor_loss': '-88.87', 'sac/alpha': '0.07277', 'sac/q_loss': '11.86', 'sac/reward_mean': '0.5337'}
{'step': 68000, 'sps': '33.3', 'episodes': 226, 'metric/d_mean': '0.0039', 'metric/d_nonzero': '0.5761', 'phi/constraint': '0.0007511', 'phi/lambda': '5.827', 'phi/obj': '0.005286', 'phi/violation_rate': '0.5643', 'sac/actor_loss': '-89.7', 'sac/alpha': '0.07307', 'sac/q_loss': '11.51', 'sac/reward_mean': '0.534'}
{'step': 69000, 'sps': '33.3', 'episodes': 230, 'metric/d_mean': '0.004', 'metric/d_nonzero': '0.5766', 'phi/constraint': '0.0007377', 'phi/lambda': '5.743', 'phi/obj': '0.005361', 'phi/violation_rate': '0.5651', 'sac/actor_loss': '-90.11', 'sac/alpha': '0.07317', 'sac/q_loss': '11.66', 'sac/reward_mean': '0.5419'}
{'step': 70000, 'sps': '33.3', 'episodes': 233, 'metric/d_mean': '0.003813', 'metric/d_nonzero': '0.5773', 'phi/constraint': '0.0006674', 'phi/lambda': '5.716', 'phi/obj': '0.005327', 'phi/violation_rate': '0.5664', 'sac/actor_loss': '-90.17', 'sac/alpha': '0.07112', 'sac/q_loss': '11.74', 'sac/reward_mean': '0.5381'}
{'step': 71000, 'sps': '33.3', 'episodes': 236, 'metric/d_mean': '0.003962', 'metric/d_nonzero': '0.5829', 'phi/constraint': '0.0006923', 'phi/lambda': '5.72', 'phi/obj': '0.005288', 'phi/violation_rate': '0.5728', 'sac/actor_loss': '-90.83', 'sac/alpha': '0.06967', 'sac/q_loss': '12.45', 'sac/reward_mean': '0.5343'}
{'step': 72000, 'sps': '33.3', 'episodes': 240, 'metric/d_mean': '0.004068', 'metric/d_nonzero': '0.5845', 'phi/constraint': '0.0007733', 'phi/lambda': '5.632', 'phi/obj': '0.005425', 'phi/violation_rate': '0.5739', 'sac/actor_loss': '-91.05', 'sac/alpha': '0.06935', 'sac/q_loss': '12.11', 'sac/reward_mean': '0.5478'}
{'step': 73000, 'sps': '33.3', 'episodes': 243, 'metric/d_mean': '0.003802', 'metric/d_nonzero': '0.5766', 'phi/constraint': '0.000647', 'phi/lambda': '5.697', 'phi/obj': '0.005378', 'phi/violation_rate': '0.5661', 'sac/actor_loss': '-91.34', 'sac/alpha': '0.06848', 'sac/q_loss': '11.33', 'sac/reward_mean': '0.5431'}
{'step': 74000, 'sps': '33.3', 'episodes': 246, 'metric/d_mean': '0.003956', 'metric/d_nonzero': '0.5768', 'phi/constraint': '0.0007015', 'phi/lambda': '5.843', 'phi/obj': '0.005394', 'phi/violation_rate': '0.5662', 'sac/actor_loss': '-92.33', 'sac/alpha': '0.06755', 'sac/q_loss': '12.25', 'sac/reward_mean': '0.5448'}
{'step': 75000, 'sps': '33.3', 'episodes': 250, 'metric/d_mean': '0.003948', 'metric/d_nonzero': '0.5787', 'phi/constraint': '0.0006909', 'phi/lambda': '5.759', 'phi/obj': '0.0055', 'phi/violation_rate': '0.5687', 'sac/actor_loss': '-93.61', 'sac/alpha': '0.06708', 'sac/q_loss': '12.15', 'sac/reward_mean': '0.5555'}
