run=mi_full_s1 metric=w2 skill_dim=4 device=cuda sim_backend=auto
{'step': 1000, 'sps': '69', 'episodes': 5}
{'step': 2000, 'sps': '68.4', 'episodes': 10}
{'step': 3000, 'sps': '66.5', 'episodes': 15}
{'step': 4000, 'sps': '65.7', 'episodes': 20}
{'step': 120000, 'sps': '31', 'episodes': 600, 'phi/obj': '0.9846', 'sac/actor_loss': '-98.48', 'sac/alpha': '0.002225', 'sac/q_loss': '0.02866', 'sac/reward_mean': '0.9866'}
{'step': 121000, 'sps': '31', 'episodes': 605, 'phi/obj': '0.9841', 'sac/actor_loss': '-98.46', 'sac/alpha': '0.002171', 'sac/q_loss': '0.02948', 'sac/reward_mean': '0.9861'}
{'step': 122000, 'sps': '31', 'episodes': 610, 'phi/obj': '0.9844', 'sac/actor_loss': '-98.45', 'sac/alpha': '0.002188', 'sac/q_loss': '0.02549', 'sac/reward_mean': '0.9864'}
{'step': 123000, 'sps': '31', 'episodes': 615, 'phi/obj': '0.9843', 'sac/actor_loss': '-98.44', 'sac/alpha': '0.002136', 'sac/q_loss': '0.02963', 'sac/reward_mean': '0.9863'}
{'step': 124000, 'sps': '31', 'episodes': 620, 'phi/obj': '0.9842', 'sac/actor_loss': '-98.43', 'sac/alpha': '0.00209', 'sac/q_loss': '0.02455', 'sac/reward_mean': '0.9863'}
{'step': 125000, 'sps': '31', 'episodes': 625, 'phi/obj': '0.9838', 'sac/actor_loss': '-98.41', 'sac/alpha': '0.002072', 'sac/q_loss': '0.02703', 'sac/reward_mean': '0.986'}
{'step': 126000, 'sps': '31', 'episodes': 630, 'phi/obj': '0.9853', 'sac/actor_loss': '-98.4', 'sac/alpha': '0.002045', 'sac/q_loss': '0.02762', 'sac/reward_mean': '0.9872'}
{'step': 127000, 'sps': '31', 'episodes': 635, 'phi/obj': '0.9847', 'sac/actor_loss': '-98.4', 'sac/alpha': '0.002014', 'sac/q_loss': '0.02829', 'sac/reward_mean': '0.9867'}
{'step': 128000, 'sps': '31', 'episodes': 640, 'phi/obj': '0.985', 'sac/actor_loss': '-98.4', 'sac/alpha': '0.002017', 'sac/q_loss': '0.02272', 'sac/reward_mean': '0.987'}
{'step': 129000, 'sps': '31', 'episodes': 645, 'phi/obj': '0.985', 'sac/actor_loss': '-98.39', 'sac/alpha': '0.001989', 'sac/q_loss': '0.02804', 'sac/reward_mean': '0.987'}
