run=abl_fullstate_temporal_s1 metric=temporal skill_dim=4 device=cuda sim_backend=auto
{'step': 1000, 'sps': '76.5', 'episodes': 5}
{'step': 2000, 'sps': '76.9', 'episodes': 10}
{'step': 3000, 'sps': '77', 'episodes': 15}
{'step': 4000, 'sps': '77.3', 'episodes': 20}
{'step': 66000, 'sps': '35.9', 'episodes': 330, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.07714', 'phi/lambda': '0.4056', 'phi/obj': '0.6559', 'phi/violation_rate': '0.4297', 'sac/actor_loss': '-6896', 'sac/alpha': '2.721', 'sac/q_loss': '1310', 'sac/reward_mean': '65.67'}
{'step': 67000, 'sps': '35.9', 'episodes': 335, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.07641', 'phi/lambda': '0.4057', 'phi/obj': '0.6597', 'phi/violation_rate': '0.4341', 'sac/actor_loss': '-6934', 'sac/alpha': '2.741', 'sac/q_loss': '1317', 'sac/reward_mean': '66.05'}
{'step': 68000, 'sps': '35.9', 'episodes': 340, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.07592', 'phi/lambda': '0.4083', 'phi/obj': '0.6606', 'phi/violation_rate': '0.4303', 'sac/actor_loss': '-6958', 'sac/alpha': '2.745', 'sac/q_loss': '1341', 'sac/reward_mean': '66.14'}
{'step': 69000, 'sps': '35.8', 'episodes': 345, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.07543', 'phi/lambda': '0.4049', 'phi/obj': '0.6623', 'phi/violation_rate': '0.4362', 'sac/actor_loss': '-6977', 'sac/alpha': '2.689', 'sac/q_loss': '1318', 'sac/reward_mean': '66.31'}
{'step': 70000, 'sps': '35.8', 'episodes': 350, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.07452', 'phi/lambda': '0.4057', 'phi/obj': '0.6621', 'phi/violation_rate': '0.4357', 'sac/actor_loss': '-6986', 'sac/alpha': '2.687', 'sac/q_loss': '1355', 'sac/reward_mean': '66.28'}
{'step': 71000, 'sps': '35.8', 'episodes': 355, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.07279', 'phi/lambda': '0.4083', 'phi/obj': '0.664', 'phi/violation_rate': '0.4335', 'sac/actor_loss': '-7008', 'sac/alpha': '2.707', 'sac/q_loss': '1358', 'sac/reward_mean': '66.47'}
{'step': 72000, 'sps': '35.8', 'episodes': 360, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.07281', 'phi/lambda': '0.4072', 'phi/obj': '0.6666', 'phi/violation_rate': '0.4373', 'sac/actor_loss': '-7025', 'sac/alpha': '2.736', 'sac/q_loss': '1321', 'sac/reward_mean': '66.73'}
{'step': 73000, 'sps': '35.8', 'episodes': 365, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.07126', 'phi/lambda': '0.4092', 'phi/obj': '0.6706', 'phi/violation_rate': '0.4377', 'sac/actor_loss': '-7059', 'sac/alpha': '2.784', 'sac/q_loss': '1320', 'sac/reward_mean': '67.13'}
{'step': 74000, 'sps': '35.7', 'episodes': 370, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.07039', 'phi/lambda': '0.4076', 'phi/obj': '0.6722', 'phi/violation_rate': '0.4411', 'sac/actor_loss': '-7071', 'sac/alpha': '2.835', 'sac/q_loss': '1286', 'sac/reward_mean': '67.3'}
{'step': 75000, 'sps': '35.7', 'episodes': 375, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.0692', 'phi/lambda': '0.41', 'phi/obj': '0.6758', 'phi/violation_rate': '0.4426', 'sac/actor_loss': '-7100', 'sac/alpha': '2.872', 'sac/q_loss': '1310', 'sac/reward_mean': '67.66'}
{'step': 76000, 'sps': '35.7', 'episodes': 380, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.06965', 'phi/lambda': '0.4113', 'phi/obj': '0.6765', 'phi/violation_rate': '0.4405', 'sac/actor_loss': '-7118', 'sac/alpha': '2.846', 'sac/q_loss': '1291', 'sac/reward_mean': '67.73'}
{'step': 77000, 'sps': '35.7', 'episodes': 385, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.06785', 'phi/lambda': '0.4092', 'phi/obj': '0.6782', 'phi/violation_rate': '0.4433', 'sac/actor_loss': '-7120', 'sac/alpha': '2.831', 'sac/q_loss': '1317', 'sac/reward_mean': '67.9'}
{'step': 78000, 'sps': '35.7', 'episodes': 390, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.06682', 'phi/lambda': '0.411', 'phi/obj': '0.6807', 'phi/violation_rate': '0.4438', 'sac/actor_loss': '-7144', 'sac/alpha': '2.796', 'sac/q_loss': '1268', 'sac/reward_mean': '68.15'}
{'step': 79000, 'sps': '35.7', 'episodes': 395, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.06784', 'phi/lambda': '0.4117', 'phi/obj': '0.6801', 'phi/violation_rate': '0.4406', 'sac/actor_loss': '-7148', 'sac/alpha': '2.807', 'sac/q_loss': '1265', 'sac/reward_mean': '68.09'}
