run=stage2_1d_s0 metric=euclidean skill_dim=4 device=cuda sim_backend=auto
{'step': 1000, 'sps': '75.7', 'episodes': 3}
{'step': 2000, 'sps': '74.8', 'episodes': 6}
{'step': 3000, 'sps': '72.2', 'episodes': 10}
{'step': 4000, 'sps': '72.1', 'episodes': 13}
{'step': 57000, 'sps': '33.5', 'episodes': 190, 'metric/d_mean': '0.001029', 'metric/d_nonzero': '0.3694', 'phi/constraint': '7.493e-07', 'phi/lambda': '69.63', 'phi/obj': '0.0003064', 'phi/violation_rate': '0.06717', 'sac/actor_loss': '-5.964', 'sac/alpha': '0.004122', 'sac/q_loss': '0.03427', 'sac/reward_mean': '0.03081'}
{'step': 58000, 'sps': '33.5', 'episodes': 193, 'metric/d_mean': '0.00103', 'metric/d_nonzero': '0.3695', 'phi/constraint': '7.281e-07', 'phi/lambda': '70.3', 'phi/obj': '0.0003151', 'phi/violation_rate': '0.06834', 'sac/actor_loss': '-5.913', 'sac/alpha': '0.004107', 'sac/q_loss': '0.03629', 'sac/reward_mean': '0.0317'}
{'step': 59000, 'sps': '33.5', 'episodes': 196, 'metric/d_mean': '0.00104', 'metric/d_nonzero': '0.371', 'phi/constraint': '7.34e-07', 'phi/lambda': '71.39', 'phi/obj': '0.0003258', 'phi/violation_rate': '0.06809', 'sac/actor_loss': '-5.88', 'sac/alpha': '0.004032', 'sac/q_loss': '0.03898', 'sac/reward_mean': '0.03278'}
{'step': 60000, 'sps': '33.5', 'episodes': 200, 'metric/d_mean': '0.001044', 'metric/d_nonzero': '0.3712', 'phi/constraint': '7.525e-07', 'phi/lambda': '72.98', 'phi/obj': '0.0003305', 'phi/violation_rate': '0.06875', 'sac/actor_loss': '-5.756', 'sac/alpha': '0.00397', 'sac/q_loss': '0.03797', 'sac/reward_mean': '0.03324'}
{'step': 61000, 'sps': '33.5', 'episodes': 203, 'metric/d_mean': '0.001051', 'metric/d_nonzero': '0.3722', 'phi/constraint': '7.908e-07', 'phi/lambda': '73.12', 'phi/obj': '0.0003306', 'phi/violation_rate': '0.06775', 'sac/actor_loss': '-5.702', 'sac/alpha': '0.003989', 'sac/q_loss': '0.03853', 'sac/reward_mean': '0.03326'}
{'step': 62000, 'sps': '33.5', 'episodes': 206, 'metric/d_mean': '0.001043', 'metric/d_nonzero': '0.3707', 'phi/constraint': '7.434e-07', 'phi/lambda': '72.3', 'phi/obj': '0.0003317', 'phi/violation_rate': '0.06793', 'sac/actor_loss': '-5.578', 'sac/alpha': '0.003934', 'sac/q_loss': '0.03836', 'sac/reward_mean': '0.03336'}
{'step': 63000, 'sps': '33.5', 'episodes': 210, 'metric/d_mean': '0.001035', 'metric/d_nonzero': '0.3686', 'phi/constraint': '7.686e-07', 'phi/lambda': '73.35', 'phi/obj': '0.0003304', 'phi/violation_rate': '0.06634', 'sac/actor_loss': '-5.481', 'sac/alpha': '0.003873', 'sac/q_loss': '0.03779', 'sac/reward_mean': '0.03323'}
{'step': 64000, 'sps': '33.5', 'episodes': 213, 'metric/d_mean': '0.00104', 'metric/d_nonzero': '0.3722', 'phi/constraint': '7.517e-07', 'phi/lambda': '73.21', 'phi/obj': '0.0003306', 'phi/violation_rate': '0.06596', 'sac/actor_loss': '-5.411', 'sac/alpha': '0.003899', 'sac/q_loss': '0.04013', 'sac/reward_mean': '0.03325'}
{'step': 65000, 'sps': '33.5', 'episodes': 216, 'metric/d_mean': '0.001028', 'metric/d_nonzero': '0.369', 'phi/constraint': '7.609e-07', 'phi/lambda': '74.67', 'phi/obj': '0.0003262', 'phi/violation_rate': '0.06501', 'sac/actor_loss': '-5.311', 'sac/alpha': '0.003969', 'sac/q_loss': '0.03832', 'sac/reward_mean': '0.03281'}
{'step': 66000, 'sps': '33.5', 'episodes': 220, 'metric/d_mean': '0.001031', 'metric/d_nonzero': '0.3709', 'phi/constraint': '7.558e-07', 'phi/lambda': '72.87', 'phi/obj': '0.0003247', 'phi/violation_rate': '0.0669', 'sac/actor_loss': '-5.225', 'sac/alpha': '0.003949', 'sac/q_loss': '0.0407', 'sac/reward_mean': '0.03267'}
