run=dads_full_s1 metric=w2 skill_dim=4 device=cuda sim_backend=auto
{'step': 1000, 'sps': '63.7', 'episodes': 5}
{'step': 2000, 'sps': '64.7', 'episodes': 10}
{'step': 3000, 'sps': '64.8', 'episodes': 15}
{'step': 4000, 'sps': '64.8', 'episodes': 20}
{'step': 84000, 'sps': '29.8', 'episodes': 420, 'phi/obj': '-0.0003094', 'sac/actor_loss': '-86.96', 'sac/alpha': '0.05241', 'sac/q_loss': '11.48', 'sac/reward_mean': '0.5089'}
{'step': 85000, 'sps': '29.8', 'episodes': 425, 'phi/obj': '-0.0003126', 'sac/actor_loss': '-86.35', 'sac/alpha': '0.05134', 'sac/q_loss': '12.84', 'sac/reward_mean': '0.5003'}
{'step': 86000, 'sps': '29.8', 'episodes': 430, 'phi/obj': '-0.0003098', 'sac/actor_loss': '-85.63', 'sac/alpha': '0.05158', 'sac/q_loss': '12.03', 'sac/reward_mean': '0.493'}
{'step': 87000, 'sps': '29.8', 'episodes': 435, 'phi/obj': '-0.0003116', 'sac/actor_loss': '-85.03', 'sac/alpha': '0.05032', 'sac/q_loss': '12.12', 'sac/reward_mean': '0.4883'}
{'step': 88000, 'sps': '29.8', 'episodes': 440, 'phi/obj': '-0.0003027', 'sac/actor_loss': '-84.07', 'sac/alpha': '0.0484', 'sac/q_loss': '10.9', 'sac/reward_mean': '0.4993'}
{'step': 89000, 'sps': '29.8', 'episodes': 445, 'phi/obj': '-0.0003056', 'sac/actor_loss': '-83.25', 'sac/alpha': '0.04838', 'sac/q_loss': '11.85', 'sac/reward_mean': '0.4861'}
{'step': 90000, 'sps': '29.8', 'episodes': 450, 'phi/obj': '-0.000306', 'sac/actor_loss': '-82.52', 'sac/alpha': '0.04906', 'sac/q_loss': '11.74', 'sac/reward_mean': '0.4873'}
{'step': 91000, 'sps': '29.8', 'episodes': 455, 'phi/obj': '-0.0003052', 'sac/actor_loss': '-81.8', 'sac/alpha': '0.04851', 'sac/q_loss': '11.81', 'sac/reward_mean': '0.4846'}
{'step': 92000, 'sps': '29.8', 'episodes': 460, 'phi/obj': '-0.0003094', 'sac/actor_loss': '-81', 'sac/alpha': '0.0482', 'sac/q_loss': '12.44', 'sac/reward_mean': '0.4728'}
{'step': 93000, 'sps': '29.8', 'episodes': 465, 'phi/obj': '-0.0003027', 'sac/actor_loss': '-80.47', 'sac/alpha': '0.0474', 'sac/q_loss': '10.99', 'sac/reward_mean': '0.4809'}
{'step': 94000, 'sps': '29.7', 'episodes': 470, 'phi/obj': '-0.0002992', 'sac/actor_loss': '-79.89', 'sac/alpha': '0.0475', 'sac/q_loss': '10.7', 'sac/reward_mean': '0.4849'}
{'step': 95000, 'sps': '29.7', 'episodes': 475, 'phi/obj': '-0.0003079', 'sac/actor_loss': '-79.18', 'sac/alpha': '0.04815', 'sac/q_loss': '12.05', 'sac/reward_mean': '0.4607'}
{'step': 96000, 'sps': '29.7', 'episodes': 480, 'phi/obj': '-0.0002992', 'sac/actor_loss': '-78.49', 'sac/alpha': '0.04808', 'sac/q_loss': '10.67', 'sac/reward_mean': '0.4708'}
{'step': 97000, 'sps': '29.7', 'episodes': 485, 'phi/obj': '-0.0003037', 'sac/actor_loss': '-78.11', 'sac/alpha': '0.04775', 'sac/q_loss': '11.39', 'sac/reward_mean': '0.4591'}
{'step': 98000, 'sps': '29.7', 'episodes': 490, 'phi/obj': '-0.0002954', 'sac/actor_loss': '-77.25', 'sac/alpha': '0.04784', 'sac/q_loss': '10.11', 'sac/reward_mean': '0.4593'}
{'step': 99000, 'sps': '29.7', 'episodes': 495, 'phi/obj': '-0.0003004', 'sac/actor_loss': '-76.38', 'sac/alpha': '0.0482', 'sac/q_loss': '11.34', 'sac/reward_mean': '0.4444'}
{'step': 100000, 'sps': '29.7', 'episodes': 500, 'phi/obj': '-0.0002932', 'sac/actor_loss': '-75.81', 'sac/alpha': '0.04844', 'sac/q_loss': '10.38', 'sac/reward_mean': '0.4374'}
{'step': 101000, 'sps': '29.7', 'episodes': 505, 'phi/obj': '-0.0002981', 'sac/actor_loss': '-75.17', 'sac/alpha': '0.04685', 'sac/q_loss': '10.57', 'sac/reward_mean': '0.4394'}
