run=mi_soil_s1 metric=w2 skill_dim=4 device=cuda sim_backend=auto
{'step': 1000, 'sps': '69.7', 'episodes': 5}
{'step': 2000, 'sps': '69.3', 'episodes': 10}
{'step': 3000, 'sps': '67.3', 'episodes': 15}
{'step': 4000, 'sps': '66.3', 'episodes': 20}
{'step': 95000, 'sps': '31.1', 'episodes': 475, 'phi/obj': '0.9749', 'sac/actor_loss': '-96.16', 'sac/alpha': '0.002824', 'sac/q_loss': '0.09792', 'sac/reward_mean': '0.9761'}
{'step': 96000, 'sps': '31.1', 'episodes': 480, 'phi/obj': '0.9747', 'sac/actor_loss': '-96.18', 'sac/alpha': '0.003142', 'sac/q_loss': '0.0917', 'sac/reward_mean': '0.9759'}
{'step': 97000, 'sps': '31.1', 'episodes': 485, 'phi/obj': '0.9764', 'sac/actor_loss': '-96.25', 'sac/alpha': '0.003154', 'sac/q_loss': '0.06934', 'sac/reward_mean': '0.9776'}
{'step': 98000, 'sps': '31.1', 'episodes': 490, 'phi/obj': '0.9746', 'sac/actor_loss': '-96.32', 'sac/alpha': '0.003024', 'sac/q_loss': '0.07338', 'sac/reward_mean': '0.976'}
{'step': 99000, 'sps': '31.1', 'episodes': 495, 'phi/obj': '0.9745', 'sac/actor_loss': '-96.35', 'sac/alpha': '0.00276', 'sac/q_loss': '0.1174', 'sac/reward_mean': '0.976'}
{'step': 100000, 'sps': '31.1', 'episodes': 500, 'phi/obj': '0.9752', 'sac/actor_loss': '-96.39', 'sac/alpha': '0.002733', 'sac/q_loss': '0.0788', 'sac/reward_mean': '0.9768'}
{'step': 101000, 'sps': '31.1', 'episodes': 505, 'phi/obj': '0.9773', 'sac/actor_loss': '-96.4', 'sac/alpha': '0.002777', 'sac/q_loss': '0.08028', 'sac/reward_mean': '0.9788'}
{'step': 102000, 'sps': '31.1', 'episodes': 510, 'phi/obj': '0.9779', 'sac/actor_loss': '-96.42', 'sac/alpha': '0.002695', 'sac/q_loss': '0.0647', 'sac/reward_mean': '0.9791'}
{'step': 103000, 'sps': '31.1', 'episodes': 515, 'phi/obj': '0.9772', 'sac/actor_loss': '-96.46', 'sac/alpha': '0.002721', 'sac/q_loss': '0.08693', 'sac/reward_mean': '0.9786'}
{'step': 104000, 'sps': '31.1', 'episodes': 520, 'phi/obj': '0.974', 'sac/actor_loss': '-96.47', 'sac/alpha': '0.002777', 'sac/q_loss': '0.08514', 'sac/reward_mean': '0.9755'}
