run=abl_temporal_rt_d4_s2 metric=temporal skill_dim=4 device=cuda sim_backend=auto
{'step': 1000, 'sps': '76.6', 'episodes': 5}
{'step': 2000, 'sps': '77.4', 'episodes': 10}
{'step': 3000, 'sps': '77.7', 'episodes': 15}
{'step': 4000, 'sps': '77.6', 'episodes': 20}
{'step': 57000, 'sps': '36.5', 'episodes': 285, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.5852', 'phi/lambda': '0.07744', 'phi/obj': '0.05834', 'phi/violation_rate': '0.1143', 'sac/actor_loss': '-1.181e+04', 'sac/alpha': '4.491', 'sac/q_loss': '3.086e+04', 'sac/reward_mean': '5.856'}
{'step': 58000, 'sps': '36.5', 'episodes': 290, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.5839', 'phi/lambda': '0.07506', 'phi/obj': '0.05943', 'phi/violation_rate': '0.1141', 'sac/actor_loss': '-1.15e+04', 'sac/alpha': '3.896', 'sac/q_loss': '2.841e+04', 'sac/reward_mean': '5.964'}
{'step': 59000, 'sps': '36.5', 'episodes': 295, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.5844', 'phi/lambda': '0.08003', 'phi/obj': '0.05991', 'phi/violation_rate': '0.1135', 'sac/actor_loss': '-1.116e+04', 'sac/alpha': '3.382', 'sac/q_loss': '2.672e+04', 'sac/reward_mean': '6.012'}
{'step': 60000, 'sps': '36.4', 'episodes': 300, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.5764', 'phi/lambda': '0.07926', 'phi/obj': '0.06189', 'phi/violation_rate': '0.1142', 'sac/actor_loss': '-1.08e+04', 'sac/alpha': '3.099', 'sac/q_loss': '2.383e+04', 'sac/reward_mean': '6.211'}
{'step': 61000, 'sps': '36.4', 'episodes': 305, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.5892', 'phi/lambda': '0.08338', 'phi/obj': '0.06171', 'phi/violation_rate': '0.1128', 'sac/actor_loss': '-1.042e+04', 'sac/alpha': '2.97', 'sac/q_loss': '2.292e+04', 'sac/reward_mean': '6.193'}
{'step': 62000, 'sps': '36.4', 'episodes': 310, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.5792', 'phi/lambda': '0.08337', 'phi/obj': '0.06545', 'phi/violation_rate': '0.1146', 'sac/actor_loss': '-1.004e+04', 'sac/alpha': '2.752', 'sac/q_loss': '2.098e+04', 'sac/reward_mean': '6.568'}
{'step': 63000, 'sps': '36.3', 'episodes': 315, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.5794', 'phi/lambda': '0.09072', 'phi/obj': '0.06841', 'phi/violation_rate': '0.1138', 'sac/actor_loss': '-9668', 'sac/alpha': '2.7', 'sac/q_loss': '1.997e+04', 'sac/reward_mean': '6.863'}
{'step': 64000, 'sps': '36.3', 'episodes': 320, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.5799', 'phi/lambda': '0.08866', 'phi/obj': '0.06915', 'phi/violation_rate': '0.1134', 'sac/actor_loss': '-9300', 'sac/alpha': '2.538', 'sac/q_loss': '1.953e+04', 'sac/reward_mean': '6.937'}
{'step': 65000, 'sps': '36.3', 'episodes': 325, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.5782', 'phi/lambda': '0.09699', 'phi/obj': '0.0716', 'phi/violation_rate': '0.1157', 'sac/actor_loss': '-8949', 'sac/alpha': '2.476', 'sac/q_loss': '1.915e+04', 'sac/reward_mean': '7.183'}
{'step': 66000, 'sps': '36.3', 'episodes': 330, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.5777', 'phi/lambda': '0.09776', 'phi/obj': '0.07224', 'phi/violation_rate': '0.1153', 'sac/actor_loss': '-8596', 'sac/alpha': '2.424', 'sac/q_loss': '1.824e+04', 'sac/reward_mean': '7.246'}
