run=stage2_comp_s1 metric=euclidean skill_dim=4 device=cuda sim_backend=auto
{'step': 1000, 'sps': '67.9', 'episodes': 3}
{'step': 2000, 'sps': '70.2', 'episodes': 6}
{'step': 3000, 'sps': '70.8', 'episodes': 10}
{'step': 4000, 'sps': '71.5', 'episodes': 13}
{'step': 61000, 'sps': '33.4', 'episodes': 203, 'metric/d_mean': '0.002339', 'metric/d_nonzero': '0.4087', 'phi/constraint': '0.0003', 'phi/lambda': '4.286', 'phi/obj': '0.002334', 'phi/violation_rate': '0.3998', 'sac/actor_loss': '-27.88', 'sac/alpha': '0.03513', 'sac/q_loss': '4.628', 'sac/reward_mean': '0.2354'}
{'step': 62000, 'sps': '33.4', 'episodes': 206, 'metric/d_mean': '0.00245', 'metric/d_nonzero': '0.4161', 'phi/constraint': '0.0003597', 'phi/lambda': '4.532', 'phi/obj': '0.002364', 'phi/violation_rate': '0.4052', 'sac/actor_loss': '-28.67', 'sac/alpha': '0.03504', 'sac/q_loss': '4.716', 'sac/reward_mean': '0.2386'}
{'step': 63000, 'sps': '33.4', 'episodes': 210, 'metric/d_mean': '0.002554', 'metric/d_nonzero': '0.4179', 'phi/constraint': '0.000393', 'phi/lambda': '4.401', 'phi/obj': '0.00242', 'phi/violation_rate': '0.408', 'sac/actor_loss': '-29.24', 'sac/alpha': '0.03534', 'sac/q_loss': '4.799', 'sac/reward_mean': '0.2444'}
{'step': 64000, 'sps': '33.4', 'episodes': 213, 'metric/d_mean': '0.002665', 'metric/d_nonzero': '0.4232', 'phi/constraint': '0.0004571', 'phi/lambda': '4.274', 'phi/obj': '0.00258', 'phi/violation_rate': '0.4129', 'sac/actor_loss': '-29.94', 'sac/alpha': '0.03629', 'sac/q_loss': '4.767', 'sac/reward_mean': '0.2605'}
{'step': 65000, 'sps': '33.4', 'episodes': 216, 'metric/d_mean': '0.002758', 'metric/d_nonzero': '0.4252', 'phi/constraint': '0.0004591', 'phi/lambda': '4.26', 'phi/obj': '0.002684', 'phi/violation_rate': '0.415', 'sac/actor_loss': '-30.64', 'sac/alpha': '0.0365', 'sac/q_loss': '5.111', 'sac/reward_mean': '0.2709'}
{'step': 66000, 'sps': '33.4', 'episodes': 220, 'metric/d_mean': '0.002723', 'metric/d_nonzero': '0.424', 'phi/constraint': '0.0004187', 'phi/lambda': '4.202', 'phi/obj': '0.002663', 'phi/violation_rate': '0.414', 'sac/actor_loss': '-31.37', 'sac/alpha': '0.03652', 'sac/q_loss': '5.465', 'sac/reward_mean': '0.2687'}
{'step': 67000, 'sps': '33.4', 'episodes': 223, 'metric/d_mean': '0.002599', 'metric/d_nonzero': '0.4255', 'phi/constraint': '0.0003816', 'phi/lambda': '4.352', 'phi/obj': '0.002631', 'phi/violation_rate': '0.4159', 'sac/actor_loss': '-32.1', 'sac/alpha': '0.03616', 'sac/q_loss': '5.039', 'sac/reward_mean': '0.2654'}
{'step': 68000, 'sps': '33.4', 'episodes': 226, 'metric/d_mean': '0.00271', 'metric/d_nonzero': '0.426', 'phi/constraint': '0.000409', 'phi/lambda': '4.395', 'phi/obj': '0.002707', 'phi/violation_rate': '0.4155', 'sac/actor_loss': '-32.68', 'sac/alpha': '0.03592', 'sac/q_loss': '5.522', 'sac/reward_mean': '0.273'}
{'step': 69000, 'sps': '33.4', 'episodes': 230, 'metric/d_mean': '0.002729', 'metric/d_nonzero': '0.4263', 'phi/constraint': '0.0004297', 'phi/lambda': '4.342', 'phi/obj': '0.002753', 'phi/violation_rate': '0.4161', 'sac/actor_loss': '-33.5', 'sac/alpha': '0.03695', 'sac/q_loss': '5.328', 'sac/reward_mean': '0.2778'}
{'step': 70000, 'sps': '33.4', 'episodes': 233, 'metric/d_mean': '0.002931', 'metric/d_nonzero': '0.4281', 'phi/constraint': '0.0004852', 'phi/lambda': '4.174', 'phi/obj': '0.002907', 'phi/violation_rate': '0.419', 'sac/actor_loss': '-34.22', 'sac/alpha': '0.03712', 'sac/q_loss': '5.899', 'sac/reward_mean': '0.2933'}
