run=tmsd_sw2_2d_s0 metric=sliced_w2 skill_dim=4 device=cuda sim_backend=auto
{'step': 1000, 'sps': '66.6', 'episodes': 5}
{'step': 2000, 'sps': '67.7', 'episodes': 10}
{'step': 3000, 'sps': '68.1', 'episodes': 15}
{'step': 4000, 'sps': '68.2', 'episodes': 20}
{'step': 60000, 'sps': '23.6', 'episodes': 300, 'metric/d_mean': '0.001074', 'metric/d_nonzero': '0.2527', 'phi/constraint': '9.006e-07', 'phi/lambda': '16.27', 'phi/obj': '0.0001099', 'phi/violation_rate': '0.05386', 'sac/actor_loss': '-4.624', 'sac/alpha': '0.001261', 'sac/q_loss': '0.02879', 'sac/reward_mean': '0.01111'}
{'step': 61000, 'sps': '23.5', 'episodes': 305, 'metric/d_mean': '0.001068', 'metric/d_nonzero': '0.2502', 'phi/constraint': '9.436e-07', 'phi/lambda': '16.15', 'phi/obj': '0.0001077', 'phi/violation_rate': '0.05109', 'sac/actor_loss': '-4.504', 'sac/alpha': '0.001286', 'sac/q_loss': '0.02796', 'sac/reward_mean': '0.01089'}
{'step': 62000, 'sps': '23.5', 'episodes': 310, 'metric/d_mean': '0.001077', 'metric/d_nonzero': '0.2529', 'phi/constraint': '9.687e-07', 'phi/lambda': '16.12', 'phi/obj': '0.0001041', 'phi/violation_rate': '0.05216', 'sac/actor_loss': '-4.392', 'sac/alpha': '0.001268', 'sac/q_loss': '0.02776', 'sac/reward_mean': '0.01053'}
{'step': 63000, 'sps': '23.5', 'episodes': 315, 'metric/d_mean': '0.001077', 'metric/d_nonzero': '0.2542', 'phi/constraint': '9.88e-07', 'phi/lambda': '15.49', 'phi/obj': '0.0001002', 'phi/violation_rate': '0.05111', 'sac/actor_loss': '-4.288', 'sac/alpha': '0.001224', 'sac/q_loss': '0.0277', 'sac/reward_mean': '0.01013'}
{'step': 64000, 'sps': '23.5', 'episodes': 320, 'metric/d_mean': '0.001079', 'metric/d_nonzero': '0.2533', 'phi/constraint': '9.564e-07', 'phi/lambda': '15.77', 'phi/obj': '0.0001017', 'phi/violation_rate': '0.0525', 'sac/actor_loss': '-4.186', 'sac/alpha': '0.001243', 'sac/q_loss': '0.02859', 'sac/reward_mean': '0.01029'}
{'step': 65000, 'sps': '23.4', 'episodes': 325, 'metric/d_mean': '0.001082', 'metric/d_nonzero': '0.253', 'phi/constraint': '9.41e-07', 'phi/lambda': '14.76', 'phi/obj': '0.0001013', 'phi/violation_rate': '0.05132', 'sac/actor_loss': '-4.084', 'sac/alpha': '0.001238', 'sac/q_loss': '0.02841', 'sac/reward_mean': '0.01024'}
{'step': 66000, 'sps': '23.4', 'episodes': 330, 'metric/d_mean': '0.001069', 'metric/d_nonzero': '0.2512', 'phi/constraint': '9.543e-07', 'phi/lambda': '15.39', 'phi/obj': '9.998e-05', 'phi/violation_rate': '0.04983', 'sac/actor_loss': '-3.982', 'sac/alpha': '0.001186', 'sac/q_loss': '0.0276', 'sac/reward_mean': '0.01011'}
{'step': 67000, 'sps': '23.4', 'episodes': 335, 'metric/d_mean': '0.001069', 'metric/d_nonzero': '0.2513', 'phi/constraint': '9.814e-07', 'phi/lambda': '15.56', 'phi/obj': '9.995e-05', 'phi/violation_rate': '0.04747', 'sac/actor_loss': '-3.889', 'sac/alpha': '0.001169', 'sac/q_loss': '0.02833', 'sac/reward_mean': '0.01011'}
{'step': 68000, 'sps': '23.4', 'episodes': 340, 'metric/d_mean': '0.001077', 'metric/d_nonzero': '0.2526', 'phi/constraint': '1.037e-06', 'phi/lambda': '15.45', 'phi/obj': '9.953e-05', 'phi/violation_rate': '0.04707', 'sac/actor_loss': '-3.8', 'sac/alpha': '0.001214', 'sac/q_loss': '0.02765', 'sac/reward_mean': '0.01006'}
{'step': 69000, 'sps': '23.4', 'episodes': 345, 'metric/d_mean': '0.001072', 'metric/d_nonzero': '0.2517', 'phi/constraint': '9.997e-07', 'phi/lambda': '14.94', 'phi/obj': '9.654e-05', 'phi/violation_rate': '0.04816', 'sac/actor_loss': '-3.711', 'sac/alpha': '0.001113', 'sac/q_loss': '0.02762', 'sac/reward_mean': '0.009764'}
